22,21,2,0,4.75,13,0,0
20,19,2,0,4.25,11,0,0
113,16,3,0,18.0,88,11,1
43,14,3,0,5.285714285714286,8,0,0
53,12,4,0,6.714285714285714,22,3,1
81,14,3,0,7.2,24,4,1
19,19,2,0,5.666666666666667,11,0,0
63,23,2,0,11.8,32,1,1
12,12,2,0,3.3333333333333335,4,0,0
28,16,2,0,4.8,10,0,0
60,20,4,0,5.1,21,1,0
39,12,2,0,5.666666666666667,8,0,1
23,22,2,0,5.0,15,1,0
33,13,1,0,4.666666666666667,9,0,1
33,11,2,0,3.857142857142857,7,0,1
18,17,2,0,3.75,9,1,0
74,31,3,0,8.375,23,1,1
48,11,3,0,7.166666666666667,20,3,1
106,12,7,0,7.230769230769231,26,3,1
26,26,2,0,8.0,18,0,0
24,24,3,0,5.25,14,1,0
40,20,1,0,5.833333333333333,16,0,1
16,15,2,0,3.25,7,0,0
276,18,14,0,12.85,40,32,1
55,19,2,0,7.0,15,0,1
88,18,2,0,16.8,66,3,1
15,14,2,0,3.0,6,0,0
21,14,1,0,6.333333333333333,10,0,1
57,33,4,0,7.285714285714286,13,2,1
53,25,5,0,5.0,13,0,1
30,30,2,0,9.333333333333334,22,0,0
33,16,2,0,4.666666666666667,10,0,1
71,13,3,0,8.0,25,4,1
26,22,3,0,4.4,8,0,0
17,17,2,0,5.0,9,0,0
40,19,3,0,5.833333333333333,9,1,0
60,30,3,0,11.2,24,3,1
27,13,1,0,4.6,9,0,1
207,14,3,0,28.714285714285715,169,9,1
21,20,2,0,4.5,8,0,0
48,16,3,0,4.444444444444445,9,0,0
110,29,3,0,9.090909090909092,32,3,1
77,16,1,0,12.0,32,0,1
23,23,2,0,7.0,15,0,0
23,22,2,0,5.0,14,0,0
16,16,2,0,4.666666666666667,8,0,0
81,29,4,0,10.714285714285714,24,2,1
20,19,2,0,4.25,11,0,0
46,17,3,0,5.714285714285714,15,1,1
41,16,1,0,6.0,13,0,1
79,11,3,0,7.0,10,5,1
59,17,5,0,6.5,22,3,1
29,7,1,0,9.0,21,1,1
41,16,2,0,6.0,18,0,1
15,14,2,0,3.0,6,0,0
78,14,4,0,12.166666666666666,34,7,1
90,14,4,0,6.583333333333333,19,4,1
50,16,2,0,7.5,27,0,1
43,17,2,0,5.285714285714286,13,0,0
16,15,2,0,3.25,7,0,0
205,26,3,0,28.428571428571427,161,7,1
21,20,2,0,4.5,12,0,0
28,17,2,0,4.8,9,0,0
130,34,4,0,13.555555555555555,63,7,1
36,11,2,0,6.4,16,3,1
55,21,2,0,6.0,13,1,1
63,27,3,0,9.666666666666666,17,4,1
18,17,2,0,3.75,10,1,0
19,18,2,0,4.0,10,0,0
20,17,2,0,4.25,11,0,1
40,9,3,0,7.2,20,3,1
87,27,3,0,16.6,41,9,1
25,24,2,0,5.5,16,0,0
22,21,1,0,6.666666666666667,17,0,0
68,13,1,0,7.625,32,1,1
35,11,4,0,4.142857142857143,8,0,1
39,27,3,0,7.0,19,0,0
82,17,1,0,7.3,16,0,1
18,17,2,0,3.75,9,0,1
58,11,4,0,6.375,22,3,1
22,21,2,0,4.75,13,0,0
197,12,1,0,65.0,184,22,1
44,19,2,0,6.5,15,0,1
17,16,2,0,3.5,8,0,0
20,19,2,0,4.25,11,0,0
20,19,2,0,4.25,11,0,0
76,27,2,0,10.0,32,0,1
34,33,2,0,7.75,17,0,1
24,23,2,0,5.25,15,2,0
17,16,2,0,3.5,8,0,0
39,19,3,0,4.0,11,1,1
19,18,2,0,4.0,10,0,0
164,12,2,0,15.5,55,1,1
62,18,3,0,6.875,13,1,0
41,40,2,0,9.5,22,0,1
31,18,3,0,4.333333333333333,7,1,1
92,34,3,0,17.6,41,7,1
28,17,2,0,4.8,9,0,0
17,16,2,0,3.5,8,0,0
15,14,3,0,2.2,4,0,0
19,18,2,0,4.0,10,0,0
45,23,3,0,6.666666666666667,15,2,0
33,32,2,0,7.5,16,0,1
23,23,2,0,7.0,12,0,0
50,14,1,1,11.75,32,0,1
118,31,3,0,22.8,69,13,1
40,17,2,0,4.857142857142857,9,0,0
148,45,3,0,28.8,84,19,1
80,12,1,0,9.125,25,1,1
27,17,3,0,4.6,9,0,0
76,14,2,0,8.625,32,1,1
24,24,2,0,7.333333333333333,16,0,0
38,12,2,0,6.8,10,0,0
34,12,3,0,4.0,7,0,0
26,10,2,0,4.4,6,1,1
21,16,1,0,6.333333333333333,13,1,1
14,13,2,0,2.75,5,0,0
37,36,2,0,8.5,22,0,1
121,13,6,1,12.555555555555555,46,14,1
26,25,2,0,5.75,12,0,0
16,15,1,0,4.666666666666667,11,0,0
13,12,2,0,2.5,4,0,0
26,16,2,0,4.4,8,2,0
96,9,3,0,7.083333333333333,23,3,1
201,22,2,0,17.363636363636363,123,11,1
15,15,2,0,4.333333333333333,7,0,0
23,22,1,0,7.0,18,0,0
51,10,2,0,9.4,32,0,1
44,14,3,0,5.428571428571429,12,0,0
20,14,3,1,2.5,4,0,1
